symbol,timeframe,metric,count,mean,std,min,q25,median,q75,max,null_count
ETHUSDT,1h,candle_body_return,38736,4.85099122182763e-05,0.0082182794715976,-0.130793655460332,-0.00297478495597367,5.47461579861741e-05,0.00317308247278925,0.0955546285955209,0
ETHUSDT,1h,candle_range,38736,0.010902453325187,0.0103697755669824,0.000292018170019448,0.0051377842103893,0.00821091605347379,0.0132338304811603,0.415061224489796,0
ETHUSDT,1h,close_price_usd,38736,2529.90791924824,912.473308692987,719.9,1795.47,2461.855,3215.28,4935,0
ETHUSDT,1h,close_to_close_return,38731,4.8471857741942e-05,0.00821816121555371,-0.130793655460332,-0.0029765013642124,5.51664866497159e-05,0.00317382626853824,0.0955546285955209,5
ETHUSDT,1h,context_age_hours,38736,35.5,6.92227590497951,24,29.75,35.5,41.25,47,0
ETHUSDT,1h,context_age_since_d1_hours,38736,11.5,6.92227590497951,0,5.75,11.5,17.25,23,0
ETHUSDT,1h,lower_wick_relative,38736,0.00300561855877781,0.00419598896199647,0,0.000853869255693622,0.00192876762145681,0.00376077366960845,0.201752086521956,0
ETHUSDT,1h,quote_volume,38736,56929105.1670801,63937490.0952046,1855222.622696,20592646.9128342,37913051.3872305,69290574.7857397,1508981031.83518,0
ETHUSDT,1h,taker_buy_share,38736,0.496786555748429,0.0570676390079655,0.173464880881645,0.461730888121965,0.497316097051483,0.532530347892925,0.779458481539165,0
ETHUSDT,1h,trade_count,38736,75460.6716491119,95687.2194182178,4266,22501.5,41714,88780.25,3460538,0
ETHUSDT,1h,upper_wick_relative,38736,0.00269143902199398,0.00313330402722383,0,0.000785797736591815,0.00181481763999865,0.00350928416619806,0.11107609568854,0
ETHUSDT,4h,base_volume,9684,94642.8938317761,92598.6338534581,5998.6737,40690.897075,66947.3789,114576.652975,1531897.38404,0
ETHUSDT,4h,candle_body_return,9684,0.000191203499884413,0.0161870924824746,-0.139904273478845,-0.00600647710704624,0.000185970590217188,0.00653974063236151,0.115231597974443,0
ETHUSDT,4h,candle_range,9684,0.0228820086357162,0.0197761962653739,0.00114996700914327,0.0112200643436852,0.0176720540211435,0.0279739334769787,0.472457627118644,0
ETHUSDT,4h,close_price_usd,9684,2529.79627942999,912.131131664176,725.34,1795.1475,2460.695,3213.405,4846.71,0
ETHUSDT,4h,close_to_close_return,9679,0.00018613883359538,0.0161886151754241,-0.13990747214495,-0.00601840934002679,0.000179621895909143,0.00652992935065311,0.115231597974443,5
ETHUSDT,4h,context_age_hours,9684,34,6.8316532486417,24,28,34,40,44,0
ETHUSDT,4h,context_age_since_d1_hours,9684,10,6.8316532486417,0,4,10,16,20,0
ETHUSDT,4h,lower_wick_relative,9684,0.0064425440799806,0.00815113672671117,0,0.00212208495496111,0.00432530117323678,0.0080315374245438,0.306157849089332,0
ETHUSDT,4h,quote_volume,9684,227716420.66832,215932485.98221,10515565.309757,93683961.59758,167117024.774337,285724167.690559,3756245261.69031,0
ETHUSDT,4h,taker_buy_share,0,,,,,,,,9684
ETHUSDT,4h,trade_count,9684,301842.686596448,346791.613198769,18892,97703.5,175949.5,359873.25,6378979,0
ETHUSDT,4h,upper_wick_relative,9684,0.0055591514971545,0.00596319575211606,0,0.00191270048019039,0.00395935815993121,0.00726107874463841,0.116172741602295,0
SOLUSDT,1h,base_volume,38736,189471.212121102,212802.314291503,10620.27,76751.2225,127333.896,223950.181,4974113.88,0
SOLUSDT,1h,candle_body_return,38736,9.35160438629336e-05,0.012116270090035,-0.192539501547483,-0.00502466918629921,0,0.00500826134483201,0.187074829931973,0
SOLUSDT,1h,candle_range,38736,0.0164090723541357,0.0151656467528903,0.00146842878120412,0.00840978750042015,0.0125158749621711,0.01947789216499,0.679320754716981,0
SOLUSDT,1h,close_price_usd,38736,102.586191886101,71.0826906007173,1.5442,31.1615,103.81,158.71,286.24,0
SOLUSDT,1h,close_to_close_return,38731,9.80168917408934e-05,0.0121205299828925,-0.192840410289067,-0.00502868545822072,0,0.00502801557834687,0.186463376944473,5
SOLUSDT,1h,context_age_hours,38736,35.5,6.92227590497951,24,29.75,35.5,41.25,47,0
SOLUSDT,1h,context_age_since_d1_hours,38736,11.5,6.92227590497951,0,5.75,11.5,17.25,23,0
SOLUSDT,1h,lower_wick_relative,38736,0.00435041341045394,0.00564965282324232,0,0.00136338013468118,0.00291318881553124,0.0054671268956427,0.204583210067588,0
SOLUSDT,1h,quote_volume,38736,18284506.5760884,25617081.9443107,58599.164804,4288139.3309525,11036339.68482,22624518.8390075,774224832.48875,0
SOLUSDT,1h,taker_buy_share,38736,0.496562986564515,0.0633899786462954,0.183626912985499,0.457547013617408,0.497026872335867,0.536438121231298,0.84685065709694,0
SOLUSDT,1h,trade_count,38736,43493.5673791822,65409.7074560915,447,7649.5,21455,55221.5,1695236,0
SOLUSDT,1h,upper_wick_relative,38736,0.00410541294275917,0.00522168505260482,0,0.00124875787923237,0.0027624309392265,0.00520110439272401,0.206443914081146,0
SOLUSDT,4h,base_volume,9684,757884.848484407,716102.138445833,64084.19,351255.17,552611.6185,909590.76225,11909662.889,0
