split,symbol,timeframe,context_variant,signal_id,holding_bars,signal_count,executable_signal_count,rejected_boundary_count,rejected_overlap_count
development,ETHUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,4,161,158,0,3
development,ETHUSDT,4h,primary_d1,breakout_close_above_prior_high_20,1,166,132,1,33
development,ETHUSDT,4h,primary_d1,breakout_close_above_prior_high_20,3,166,105,3,58
development,ETHUSDT,4h,primary_d1,breakout_close_above_prior_high_20,6,166,89,4,73
development,ETHUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,1,977,528,1,448
development,ETHUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,3,977,303,3,671
development,ETHUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,6,977,196,3,778
development,ETHUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,1,211,122,0,89
development,ETHUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,3,211,77,0,134
development,ETHUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,6,211,58,0,153
development,ETHUSDT,4h,primary_d1,momentum_return_12_positive,1,1615,874,3,738
development,ETHUSDT,4h,primary_d1,momentum_return_12_positive,3,1615,485,7,1123
development,ETHUSDT,4h,primary_d1,momentum_return_12_positive,6,1615,310,11,1294
development,ETHUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,1,37,37,0,0
development,ETHUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,3,37,36,1,0
development,ETHUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,6,37,36,1,0
development,ETHUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,1,166,132,1,33
development,ETHUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,3,166,105,3,58
development,ETHUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,6,166,89,4,73
development,ETHUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,1,977,528,1,448
development,ETHUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,3,977,303,3,671
development,ETHUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,6,977,196,3,778
development,ETHUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,1,211,122,0,89
development,ETHUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,3,211,77,0,134
development,ETHUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,6,211,58,0,153
development,ETHUSDT,4h,sensitivity_d2,momentum_return_12_positive,1,1615,874,3,738
development,ETHUSDT,4h,sensitivity_d2,momentum_return_12_positive,3,1615,485,7,1123
development,ETHUSDT,4h,sensitivity_d2,momentum_return_12_positive,6,1615,310,11,1294
development,ETHUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,1,37,37,0,0
development,ETHUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,3,37,36,1,0
development,ETHUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,6,37,36,1,0
development,SOLUSDT,1h,primary_d1,breakout_close_above_prior_high_20,12,585,267,3,315
development,SOLUSDT,1h,primary_d1,breakout_close_above_prior_high_20,24,585,211,7,367
development,SOLUSDT,1h,primary_d1,breakout_close_above_prior_high_20,4,585,362,2,221
development,SOLUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,12,2889,420,8,2461
development,SOLUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,24,2889,293,9,2587
development,SOLUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,4,2889,799,4,2086
development,SOLUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,12,610,151,0,459
development,SOLUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,24,610,116,0,494
development,SOLUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,4,610,226,0,384
development,SOLUSDT,1h,primary_d1,momentum_return_12_positive,12,6155,721,22,5412
development,SOLUSDT,1h,primary_d1,momentum_return_12_positive,24,6155,432,45,5678
development,SOLUSDT,1h,primary_d1,momentum_return_12_positive,4,6155,1543,10,4602
development,SOLUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,12,147,143,0,4
development,SOLUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,24,147,140,0,7
development,SOLUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,4,147,146,0,1
development,SOLUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,12,585,267,3,315
development,SOLUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,24,585,211,7,367
development,SOLUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,4,585,362,2,221
development,SOLUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,12,2889,420,8,2461
development,SOLUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,24,2889,293,9,2587
development,SOLUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,4,2889,799,4,2086
development,SOLUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,12,610,151,0,459
development,SOLUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,24,610,116,0,494
development,SOLUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,4,610,226,0,384
development,SOLUSDT,1h,sensitivity_d2,momentum_return_12_positive,12,6155,721,22,5412
development,SOLUSDT,1h,sensitivity_d2,momentum_return_12_positive,24,6155,432,45,5678
development,SOLUSDT,1h,sensitivity_d2,momentum_return_12_positive,4,6155,1543,10,4602
development,SOLUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,12,147,143,0,4
development,SOLUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,24,147,140,0,7
development,SOLUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,4,147,146,0,1
development,SOLUSDT,4h,primary_d1,breakout_close_above_prior_high_20,1,133,107,1,25
development,SOLUSDT,4h,primary_d1,breakout_close_above_prior_high_20,3,133,87,3,43
development,SOLUSDT,4h,primary_d1,breakout_close_above_prior_high_20,6,133,74,3,56
development,SOLUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,1,1250,671,0,579
development,SOLUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,3,1250,382,0,868
development,SOLUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,6,1250,243,0,1007
development,SOLUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,1,181,110,0,71
development,SOLUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,3,181,76,0,105
development,SOLUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,6,181,53,0,128
development,SOLUSDT,4h,primary_d1,momentum_return_12_positive,1,1465,791,5,669
development,SOLUSDT,4h,primary_d1,momentum_return_12_positive,3,1465,440,14,1011
development,SOLUSDT,4h,primary_d1,momentum_return_12_positive,6,1465,284,9,1172
development,SOLUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,1,32,32,0,0
development,SOLUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,3,32,32,0,0
development,SOLUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,6,32,32,0,0
development,SOLUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,1,133,107,1,25
development,SOLUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,3,133,87,3,43
development,SOLUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,6,133,74,3,56
development,SOLUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,1,1250,671,0,579
development,SOLUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,3,1250,382,0,868
development,SOLUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,6,1250,243,0,1007
development,SOLUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,1,181,110,0,71
development,SOLUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,3,181,76,0,105
development,SOLUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,6,181,53,0,128
development,SOLUSDT,4h,sensitivity_d2,momentum_return_12_positive,1,1465,791,5,669
development,SOLUSDT,4h,sensitivity_d2,momentum_return_12_positive,3,1465,440,14,1011
development,SOLUSDT,4h,sensitivity_d2,momentum_return_12_positive,6,1465,284,9,1172
development,SOLUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,1,32,32,0,0
development,SOLUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,3,32,32,0,0
development,SOLUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,6,32,32,0,0
validation,BTCUSDT,1h,primary_d1,breakout_close_above_prior_high_20,12,313,150,0,163
validation,BTCUSDT,1h,primary_d1,breakout_close_above_prior_high_20,24,313,127,0,186
validation,BTCUSDT,1h,primary_d1,breakout_close_above_prior_high_20,4,313,190,0,123
validation,BTCUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,12,172,41,0,131
validation,BTCUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,24,172,36,0,136
validation,BTCUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,4,172,63,0,109
validation,BTCUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,12,324,69,0,255
validation,BTCUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,24,324,52,0,272
validation,BTCUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,4,324,113,0,211
validation,BTCUSDT,1h,primary_d1,momentum_return_12_positive,12,4126,471,5,3650
validation,BTCUSDT,1h,primary_d1,momentum_return_12_positive,24,4126,272,20,3834
validation,BTCUSDT,1h,primary_d1,momentum_return_12_positive,4,4126,1049,0,3077
validation,BTCUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,12,105,98,0,7
validation,BTCUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,24,105,95,1,9
validation,BTCUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,4,105,104,0,1
validation,BTCUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,12,313,150,0,163
validation,BTCUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,24,313,127,0,186
validation,BTCUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,4,313,190,0,123
validation,BTCUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,12,172,41,0,131
validation,BTCUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,24,172,36,0,136
validation,BTCUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,4,172,63,0,109
validation,BTCUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,12,324,69,0,255
validation,BTCUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,24,324,52,0,272
validation,BTCUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,4,324,113,0,211
validation,BTCUSDT,1h,sensitivity_d2,momentum_return_12_positive,12,4126,471,5,3650
validation,BTCUSDT,1h,sensitivity_d2,momentum_return_12_positive,24,4126,272,20,3834
validation,BTCUSDT,1h,sensitivity_d2,momentum_return_12_positive,4,4126,1049,0,3077
validation,BTCUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,12,105,98,0,7
validation,BTCUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,24,105,95,1,9
validation,BTCUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,4,105,104,0,1
validation,BTCUSDT,4h,primary_d1,breakout_close_above_prior_high_20,1,93,73,0,20
validation,BTCUSDT,4h,primary_d1,breakout_close_above_prior_high_20,3,93,60,0,33
validation,BTCUSDT,4h,primary_d1,breakout_close_above_prior_high_20,6,93,52,0,41
validation,BTCUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,1,173,97,0,76
validation,BTCUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,3,173,55,0,118
validation,BTCUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,6,173,39,0,134
validation,BTCUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,1,85,45,0,40
validation,BTCUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,3,85,29,0,56
validation,BTCUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,6,85,21,0,64
validation,BTCUSDT,4h,primary_d1,momentum_return_12_positive,1,1087,591,1,495
validation,BTCUSDT,4h,primary_d1,momentum_return_12_positive,3,1087,327,1,759
validation,BTCUSDT,4h,primary_d1,momentum_return_12_positive,6,1087,202,9,876
validation,BTCUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,1,20,20,0,0
validation,BTCUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,3,20,20,0,0
validation,BTCUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,6,20,20,0,0
validation,BTCUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,1,93,73,0,20
validation,BTCUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,3,93,60,0,33
validation,BTCUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,6,93,52,0,41
validation,BTCUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,1,173,97,0,76
validation,BTCUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,3,173,55,0,118
validation,BTCUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,6,173,39,0,134
validation,BTCUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,1,85,45,0,40
validation,BTCUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,3,85,29,0,56
validation,BTCUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,6,85,21,0,64
validation,BTCUSDT,4h,sensitivity_d2,momentum_return_12_positive,1,1087,591,1,495
validation,BTCUSDT,4h,sensitivity_d2,momentum_return_12_positive,3,1087,327,1,759
