split,symbol,timeframe,strategy_type,strategy_id,holding_bars,cost_scenario,d1_trade_count,d2_trade_count,trade_count_delta,d1_average_net_return,d2_average_net_return,average_net_return_delta
development,ETHUSDT,1h,signal,momentum_return_12_positive,12,low_20bps,750,750,0,-0.00068468836203190058,-0.00068468836203190058,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,24,base_30bps,446,446,0,-0.0020361025430876908,-0.0020361025430876908,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,24,high_50bps,446,446,0,-0.0040300378980981403,-0.0040300378980981403,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,24,low_20bps,446,446,0,-0.0010376389145847155,-0.0010376389145847155,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,4,base_30bps,1640,1640,0,-0.0024456320646563919,-0.0024456320646563919,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,4,high_50bps,1640,1640,0,-0.0044387491782514376,-0.0044387491782514376,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,4,low_20bps,1640,1640,0,-0.0014475781707471488,-0.0014475781707471488,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,12,base_30bps,156,156,0,-0.0038897032610000848,-0.0038897032610000848,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,12,high_50bps,156,156,0,-0.0058799351152978019,-0.0058799351152978019,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,12,low_20bps,156,156,0,-0.0028930941614067427,-0.0028930941614067427,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,24,base_30bps,147,147,0,-0.0050905099844014657,-0.0050905099844014657,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,24,high_50bps,147,147,0,-0.0070783426226689958,-0.0070783426226689958,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,24,low_20bps,147,147,0,-0.0040951022928362472,-0.0040951022928362472,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,4,base_30bps,158,158,0,-0.0023161295407777421,-0.0023161295407777421,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,4,high_50bps,158,158,0,-0.0043095054008681268,-0.0043095054008681268,0
development,ETHUSDT,1h,signal,trend_sma20_cross_above_sma50,4,low_20bps,158,158,0,-0.0013179460794961559,-0.0013179460794961559,0
development,ETHUSDT,4h,baseline,always_flat,,base_30bps,0,0,0,,,
development,ETHUSDT,4h,baseline,always_flat,,high_50bps,0,0,0,,,
development,ETHUSDT,4h,baseline,always_flat,,low_20bps,0,0,0,,,
development,ETHUSDT,4h,baseline,periodic_entry_baseline,1,base_30bps,82,82,0,-0.0068356484001562551,-0.0068356484001562551,0
development,ETHUSDT,4h,baseline,periodic_entry_baseline,1,high_50bps,82,82,0,-0.0088199942457698501,-0.0088199942457698501,0
