split,symbol,timeframe,context_variant,strategy_type,strategy_id,holding_bars,cost_scenario,signal_count,executable_signal_count,rejected_signal_count,trade_count,hit_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,cumulative_net_return,trade_return_volatility,maximum_drawdown,profit_factor,profit_factor_status,cost_burden,exposure_hours,covered_segment_count,segment_mean_min,segment_mean_median,segment_mean_max,positive_segment_share,uncertainty_note
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,12,low_20bps,82,82,0,82,0.45121951219512196,-0.00030728852723858652,0.00056658681708582348,-0.0023046760633009741,-0.0014325467232246814,-0.21184260610495698,0.034451103384081118,-0.25521213520811414,0.82264471536429318,DEFINED,0.0019973875360623878,984,4,-0.024456853755449169,-0.0012308641001385462,0.01282247970777054,0.5,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,24,base_30bps,82,82,0,82,0.47560975609756095,0.00079085981254294502,0.0007359689777224343,-0.0022070144565537017,-0.0022617408655905558,-0.23753693082355398,0.046830592694010922,-0.28642585657831487,0.87628127895315444,DEFINED,0.0029978742690966466,1968,4,-0.016200233419292998,-0.0070919361833120444,0.018501469243988954,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,24,high_50bps,82,82,0,82,0.46341463414634149,0.00079085981254294502,0.0007359689777224343,-0.0042006083289636825,-0.0042552253944440066,-0.35286566803257091,0.046737025006135004,-0.35878036826930504,0.77735227455344302,DEFINED,0.0049914681415066282,1968,4,-0.018165868791308992,-0.0090757699650391398,0.016466499748769035,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,24,low_20bps,82,82,0,82,0.47560975609756095,0.00079085981254294502,0.0007359689777224343,-0.0012087218255484365,-0.0012635029883985571,-0.17237999219410782,0.046877446737153536,-0.27277995251892184,0.93026134500914692,DEFINED,0.0019995816380913817,1968,4,-0.015215941014363677,-0.0060985309201611396,0.019520480728481015,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,4,base_30bps,82,82,0,82,0.40243902439024393,-0.0020407493251639775,-0.0022136071667752666,-0.0050301414942385773,-0.0052024815392787693,-0.35226811544726466,0.022513186211102924,-0.36641562756530532,0.52950382815815633,DEFINED,0.0029893921690745998,328,4,-0.0075712983980953611,-0.0048628193485819341,0.00054935263719119165,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,4,high_50bps,82,82,0,82,0.34146341463414637,-0.0020407493251639775,-0.0022136071667752666,-0.0070180947489604257,-0.0071900904579884073,-0.45024282834210905,0.022468204786369399,-0.45971589450353278,0.4123983619042737,DEFINED,0.0049773454237964478,328,4,-0.0095541744124419507,-0.0068511069135356066,-0.0014497484663056226,0,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,periodic_entry_baseline,4,low_20bps,82,82,0,82,0.43902439024390244,-0.0020407493251639775,-0.0022136071667752666,-0.0040346734039536439,-0.004207185875338304,-0.29691562906950097,0.022535710670806116,-0.31433222215708934,0.60160616665589572,DEFINED,0.0019939240787896664,328,4,-0.0065783727372002773,-0.0038671838523646725,0.0015504030155427339,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,segment_buy_and_hold,,base_30bps,0,4,0,4,0.5,-0.11751015748424937,-0.067190355047935801,-0.12015366043561787,-0.069984591231398496,-0.61818895117636763,0.4256224393461317,-0.66408358852033733,0.47771442193360897,DEFINED,0.0026435029513685038,13172,4,-0.64361991558891163,-0.069984591231398496,0.30297445630923714,0.5,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,segment_buy_and_hold,,high_50bps,0,4,0,4,0.5,-0.11751015748424937,-0.067190355047935801,-0.12191159649713723,-0.071842765268529118,-0.62123125741221275,0.42477204422476439,-0.66609305473907998,0.47131249388915203,DEFINED,0.0044014390128878644,13172,4,-0.64433196424311612,-0.071842765268529118,0.30037110879162543,0.5,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,sensitivity_d2,baseline,segment_buy_and_hold,,low_20bps,0,4,0,4,0.5,-0.11751015748424937,-0.067190355047935801,-0.11927337351244835,-0.069054110116831935,-0.61665864752149158,0.42604827491618069,-0.66307432555966805,0.48093148164367411,DEFINED,0.0017632160281989828,13172,4,-0.64326335704695026,-0.069054110116831935,0.30427808323082073,0.5,descriptive_non_iid_no_p_value
