split,symbol,timeframe,context_variant,strategy_type,strategy_id,holding_bars,cost_scenario,signal_count,executable_signal_count,rejected_signal_count,trade_count,hit_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,cumulative_net_return,trade_return_volatility,maximum_drawdown,profit_factor,profit_factor_status,cost_burden,exposure_hours,covered_segment_count,segment_mean_min,segment_mean_median,segment_mean_max,positive_segment_share,uncertainty_note
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,12,low_20bps,6527,986,5541,986,0.4634888438133874,-0.0013755419843715833,-0.00027772496837419336,-0.0033707951484252762,-0.0022751715724714239,,0.050970571182102437,,0.8186477007638141,DEFINED,0.0019952531640536927,11832,4,-0.0060784205199035232,-0.0012803453012088808,0.017746563850752153,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,24,base_30bps,6527,685,5842,685,0.49051094890510949,0.00088710540219751478,0.0017191977077364307,-0.00211105717106767,-0.0012814574023937153,,0.067069281722729315,,0.9127671730609539,DEFINED,0.0029981625732651853,16440,4,-0.0071027170122081543,0.0013173696607032084,0.027141233540244128,0.75,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,24,high_50bps,6527,685,5842,685,0.48029197080291969,0.00088710540219751478,0.0017191977077364307,-0.0041048427664694435,-0.0032769005410326901,,0.066935277063439644,,0.83698500727753988,DEFINED,0.0049919481686669584,16440,4,-0.0090865292538014394,-0.0006832659434908234,0.025089001765764167,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,24,low_20bps,6527,685,5842,685,0.49781021897810218,0.00088710540219751478,0.0017191977077364307,-0.0011126685347262583,-0.00028223875086108574,,0.067136384589436826,,0.95308891076862001,DEFINED,0.0019997739369237732,16440,4,-0.0061093225352846737,0.0023191884406632726,0.028168889115399741,0.75,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,4,base_30bps,6527,1832,4695,1832,0.45524017467248906,0.00095081658624964968,0.0013856306222281844,-0.0020475368342014969,-0.0016140252859480619,,0.032714557809940092,,0.82028876849983423,DEFINED,0.0029983534204511466,7328,4,-0.0033511688946425071,-0.0014876960236873517,0.0063870709278294633,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,4,high_50bps,6527,1832,4695,1832,0.40938864628820959,0.00095081658624964968,0.0013856306222281844,-0.0040414493434583259,-0.0036088039527933935,,0.032649194009098194,,0.6766110945134669,DEFINED,0.0049922659297079756,7328,4,-0.0053424767424863732,-0.00348272709684023,0.0043763060427850636,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,4,low_20bps,6527,1832,4695,1832,0.48799126637554585,0.00095081658624964968,0.0013856306222281844,-0.0010490846457153597,-0.00061513936883245135,,0.032747288749585324,,0.90354115485635467,DEFINED,0.0019999012319650094,7328,4,-0.0023540209910113794,-0.00048868371405006925,0.0073939619477127287,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,12,base_30bps,2141,469,1672,469,0.45202558635394458,-0.00021322510727285433,0.00072980384383036778,-0.0032080916347263719,-0.0022678875317917457,,0.044866671303121393,,0.80556447573074663,DEFINED,0.0029948665274535176,5628,4,-0.005162032459963637,0.0031208078731697099,0.01248881853157917,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,12,high_50bps,2141,469,1672,469,0.43283582089552236,-0.00021322510727285433,0.00072980384383036778,-0.0051996853514356123,-0.0042613597795847502,,0.044777027537048403,,0.70434890956426743,DEFINED,0.0049864602441627584,5628,4,-0.0071497221960750207,0.0011165689931241719,0.010465862333496796,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,12,low_20bps,2141,469,1672,469,0.47121535181236673,-0.00021322510727285433,0.00072980384383036778,-0.0022108005821892956,-0.0012696558043439055,,0.04491156044143825,,0.86162998615482245,DEFINED,0.0019975754749164414,5628,4,-0.0041666963266888905,0.0041244309944150912,0.013501814354520069,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,24,base_30bps,2141,352,1789,352,0.48011363636363635,-0.0036888810017161018,0.00064386061157861718,-0.0066733361837101515,-0.0023535733206406229,,0.065088053439430804,,0.72836282435696575,DEFINED,0.0029844551819940487,8448,4,-0.0091292651374105353,0.0016804624117119789,0.01068375870128171,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,24,high_50bps,2141,352,1789,352,0.45170454545454547,-0.0036888810017161018,0.00064386061157861718,-0.0086580063296994737,-0.0043468743679279109,,0.064958007281175539,,0.66152983492309936,DEFINED,0.0049691253279833709,8448,4,-0.011109028328766866,-0.00032089865306763688,0.0086644090190489912,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,24,low_20bps,2141,352,1789,352,0.48863636363636365,-0.0036888810017161018,0.00064386061157861718,-0.0056795121109454302,-0.0013554273218888135,,0.065153174085753718,,0.76411016357626982,DEFINED,0.0019906311092293275,8448,4,-0.0081378982234074741,0.0026826444662419709,0.011694948560507545,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,4,base_30bps,2141,738,1403,738,0.44308943089430897,0.00095539295061396797,0.0017264307896841524,-0.0020429741783606339,-0.0012742459871810108,,0.032094161277425939,,0.79308254427707559,DEFINED,0.0029983671289746023,2952,4,-0.0039883703913878316,9.3851601571010934e-05,0.0058394303944724734,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,4,high_50bps,2141,738,1403,738,0.3807588075880759,0.00095539295061396797,0.0017264307896841524,-0.0040368958038197837,-0.0032697035342527658,,0.032030037031024285,,0.63378131877399757,DEFINED,0.0049922887544337526,2952,4,-0.0059784051084141778,-0.0019043394092646618,0.0038297596971277261,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_rsi14_below_30,4,low_20bps,2141,738,1403,738,0.48780487804878048,0.00095539295061396797,0.0017264307896841524,-0.0010445174249338982,-0.00027502012062197156,,0.032126271509874703,,0.88830130988133993,DEFINED,0.0019999103755478664,2952,4,-0.0029918600083324916,0.001094446250794524,0.006845773499591052,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,12,base_30bps,19077,2224,16853,2224,0.41816546762589929,-4.7234123412178923e-05,-0.0011999243569771334,-0.0030425978777283724,-0.0041918352216534505,,0.037773475091193914,,0.79102029890306036,DEFINED,0.0029953637543161929,26688,4,-0.0049592439256870915,-0.0006032418242332741,0.006776688794081347,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,12,high_50bps,19077,2224,16853,2224,0.38714028776978415,-4.7234123412178923e-05,-0.0011999243569771334,-0.0050345222515424982,-0.0061814634152378978,,0.037698003555943126,,0.67979662723114787,DEFINED,0.0049872881281303192,26688,4,-0.0069473388339987016,-0.0026000400399678555,0.0047651454511784689,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,momentum_return_12_positive,12,low_20bps,19077,2224,16853,2224,0.43525179856115109,-4.7234123412178923e-05,-0.0011999243569771334,-0.0020451412485632012,-0.003195528405313619,,0.0378112674813764,,0.85392872374256279,DEFINED,0.0019979071251510225,26688,4,-0.0039637049023315881,0.0003966553824944603,0.0077839696269322786,0.75,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
