source,symbol_or_asset,period,interval,object_type,url,local_path,expected_rows
Binance Public Data,BTCUSDT,2023-03,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-03.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-03.zip,744
Binance Public Data,BTCUSDT,2023-03,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-03.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-03.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2023-04,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-04.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-04.zip,720
Binance Public Data,BTCUSDT,2023-04,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-04.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-04.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2023-05,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-05.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-05.zip,744
Binance Public Data,BTCUSDT,2023-05,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-05.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-05.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2023-06,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,720
Binance Public Data,BTCUSDT,2023-06,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2023-07,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-07.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-07.zip,744
Binance Public Data,BTCUSDT,2023-07,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-07.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-07.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2023-08,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-08.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-08.zip,744
Binance Public Data,BTCUSDT,2023-08,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-08.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-08.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2023-09,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-09.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-09.zip,720
Binance Public Data,BTCUSDT,2023-09,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-09.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-09.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2023-10,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-10.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-10.zip,744
Binance Public Data,BTCUSDT,2023-10,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-10.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-10.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2023-11,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-11.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-11.zip,720
Binance Public Data,BTCUSDT,2023-11,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-11.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-11.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2023-12,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-12.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-12.zip,744
Binance Public Data,BTCUSDT,2023-12,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-12.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-12.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2024-01,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-01.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-01.zip,744
Binance Public Data,BTCUSDT,2024-01,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-01.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-01.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2024-02,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-02.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-02.zip,696
Binance Public Data,BTCUSDT,2024-02,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-02.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-02.zip.CHECKSUM,696
Binance Public Data,BTCUSDT,2024-03,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-03.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-03.zip,744
Binance Public Data,BTCUSDT,2024-03,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-03.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-03.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2024-04,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-04.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-04.zip,720
Binance Public Data,BTCUSDT,2024-04,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-04.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-04.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2024-05,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-05.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-05.zip,744
Binance Public Data,BTCUSDT,2024-05,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-05.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-05.zip.CHECKSUM,744
Binance Public Data,BTCUSDT,2024-06,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-06.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-06.zip,720
Binance Public Data,BTCUSDT,2024-06,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-06.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-06.zip.CHECKSUM,720
Binance Public Data,BTCUSDT,2024-07,1h,archive,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-07.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-07.zip,744
Binance Public Data,BTCUSDT,2024-07,1h,checksum,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-07.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-07.zip.CHECKSUM,744
